0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Lat,50.0th-qrtle-1,47,False,47,0,46,2.12765957446808,33,29.7872340425532,39,17.0212765957447,6,87.2340425531915,49,-4.25531914893617
Lat,75.0th-qrtle-1,48,False,48,0,47,2.08333333333333,36,25,41,14.5833333333333,6,87.5,51,-6.25
Lat,90.0th-qrtle-1,50,False,50,0,48,4,39,22,46,8,12,76,52,-4
Lat,95.0th-qrtle-1,51,False,52,-1.96078431372548,48,5.88235294117646,41,19.6078431372549,59,-15.6862745098039,16,68.6274509803922,54,-5.88235294117646
Lat,99.0th-qrtle-1,56,False,55,1.78571428571429,50,10.7142857142857,55,1.78571428571429,66,-17.8571428571429,29,48.2142857142857,56,0
Lat,99.5th-qrtle-1,56,False,55,1.78571428571429,50,10.7142857142857,60,-7.14285714285714,67,-19.6428571428571,29,48.2142857142857,56,0
Lat,99.9th-qrtle-1,56,False,55,1.78571428571429,50,10.7142857142857,60,-7.14285714285714,82,-46.4285714285714,29,48.2142857142857,56,0
Lat,50.0th-qrtle-2,53,False,51,3.77358490566037,53,0,36,32.0754716981132,43,18.8679245283019,12,77.3584905660377,49,7.54716981132076
Lat,75.0th-qrtle-2,61,False,61,0,62,-1.63934426229508,42,31.1475409836066,49,19.672131147541,35,42.6229508196721,52,14.7540983606557
Lat,90.0th-qrtle-2,62,False,63,-1.61290322580645,63,-1.61290322580645,44,29.0322580645161,55,11.2903225806452,337,-443.548387096774,3452,-5467.74193548387
Lat,95.0th-qrtle-2,63,False,63,0,64,-1.58730158730158,52,17.4603174603175,60,4.76190476190476,3820,-5963.49206349206,4296,-6719.04761904762
Lat,99.0th-qrtle-2,65,False,66,-1.53846153846153,67,-3.07692307692308,63,3.07692307692308,498,-666.153846153846,9488,-14496.9230769231,9744,-14890.7692307692
Lat,99.5th-qrtle-2,66,False,66,0,73,-10.6060606060606,65,1.51515151515152,1013,-1434.84848484848,10192,-15342.4242424242,11568,-17427.2727272727
Lat,99.9th-qrtle-2,66,False,66,0,73,-10.6060606060606,65,1.51515151515152,1330,-1915.15151515152,10192,-15342.4242424242,11568,-17427.2727272727
Lat,50.0th-qrtle-3,62,False,61,1.61290322580645,61,1.61290322580645,41,33.8709677419355,49,20.9677419354839,15,75.8064516129032,45,27.4193548387097
Lat,75.0th-qrtle-3,64,False,63,1.5625,64,0,46,28.125,55,14.0625,34,46.875,1794,-2703.125
Lat,90.0th-qrtle-3,66,False,65,1.51515151515152,66,0,50,24.2424242424242,67,-1.51515151515152,4456,-6651.51515151515,8656,-13015.1515151515
Lat,95.0th-qrtle-3,68,False,68,0,68,0,61,10.2941176470588,376,-452.941176470588,10416,-15217.6470588235,10416,-15217.6470588235
Lat,99.0th-qrtle-3,70,False,71,-1.42857142857143,74,-5.71428571428571,3924,-5505.71428571429,5848,-8254.28571428571,12688,-18025.7142857143,11440,-16242.8571428571
Lat,99.5th-qrtle-3,70,False,74,-5.71428571428571,74,-5.71428571428571,7656,-10837.1428571429,7688,-10882.8571428571,12720,-18071.4285714286,12688,-18025.7142857143
Lat,99.9th-qrtle-3,70,False,88,-25.7142857142857,74,-5.71428571428571,10736,-15237.1428571429,11856,-16837.1428571429,12720,-18071.4285714286,12688,-18025.7142857143
