0,thread,BASELINE,XENTRACE,XENTRACE_ALL
Min,sample-anycpu,7.33333,8,8
Amean,sample-anycpu,14.114,16.4668,14.1894896176467
Stddev,sample-anycpu,26.2584,37.1165,27.0092544578211
CoeffVar,sample-anycpu,185.921,225.544,190.346905953765
Max,sample-anycpu,6651.67,7606.67,6528
BAmean-50,sample-anycpu,11.8564,12.6604,11.9712468159449
BAmean-95,sample-anycpu,12.7969,13.9732,12.9168977864269
BAmean-99,sample-anycpu,13.2522,14.7333,13.3481851936046
