0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Min,sample-anycpu,7,0,7,0,8,-14.2857142857143,7,0,8,-14.2857142857143,7,0,7,0,7,0,8,-14.2857142857143,8,-14.2857142857143,8,-14.2857142857143,8,-14.2857142857143,8,-14.2857142857143,8,-14.2857142857143,8,-14.2857142857143
Amean,sample-anycpu,13.9577588153867,0:NSIG:,13.8633515785684,0.676378192709763:SIG:,13.9563919812917,0.00979264732328033:NSIG:,13.7818283796037,1.26044903132343:SIG:,14.2687333634465,-2.22796906131509:SIG:,13.9370392224517,0.148444984678861:NSIG:,14.0044680585073,-0.334647157458519:SIG:,14.1481498460497,-1.36405158722998:SIG:,14.1894896176467,-1.66022930561392:SIG:,16.1599585525745,-15.7776027392032:SIG:,17.2790067016295,-23.7949940973442:SIG:,15.9613678234701,-14.3548046257587:SIG:,18.4608835134901,-32.2625197760203:SIG:,17.9947387613517,-28.9228378234673:SIG:,18.5308640636057,-32.7638936071718:SIG:
Stddev,sample-anycpu,16.4365149388807,0,13.2052620416321,19.6589904201957,17.2257589328426,-4.80177213294172,16.4766342247509,-0.244086328637266,15.4284538505893,6.1330585713571,15.9728094538679,2.82119102946717,21.1100151111239,-28.4336441734863,30.6560336108371,-86.5117619205276,27.0092544578211,-64.3247036142108,35.7488196355054,-117.496347421809,38.1683184538964,-132.216614019612,37.4323041543534,-127.738692134834,72.7969739330092,-342.897866145624,71.3387065838812,-334.025746024354,70.8552674040126,-331.084494903503
CoeffVar,sample-anycpu,117.75898377583,0,95.2530271398896,19.1118808215798,123.425588475399,-4.81203600598013,119.553326096669,-1.52374134295789,108.127704524311,8.17880635744349,114.606906093345,2.67671950064093,150.737714727409,-28.0052781487646,216.678745591576,-84.001881337609,190.346905953765,-61.6410908539397,221.218510673779,-87.8570140303681,220.894170093104,-87.5815865680418,234.518147619603,-99.1509608014626,394.330931560311,-234.862716131258,396.442024138185,-236.655439293588,382.363537721758,-224.700099696546
Max,sample-anycpu,3474,0,4559,-31.2320092112838,3550,-2.18767990788716,4001,-15.1698330454807,3948,-13.6442141623489,5006,-44.0990213010938,5817,-67.4438687392055,7610,-119.055843408175,6528,-87.9101899827288,6603,-90.0690846286701,7879,-126.799078871618,8338,-140.011514104778,8931,-157.081174438687,8211,-136.355785837651,8329,-139.752446747265
BAmean-50,sample-anycpu,11.8245963474171,0,11.9519412507875,-1.07694926430429,11.7148881484531,0.927796566924044,11.5377213510414,2.42608701343384,12.1403995939723,-2.67073172966418,11.7593680669804,0.551632195469878,11.7164112180689,0.91491604592305,11.881455784513,-0.480857319990434,11.9712468159449,-1.24021543077797,12.754826641058,-7.86690950210813,12.7304173703981,-7.66048156205254,12.4959277074285,-5.67741460500734,12.8041705335265,-8.28420824972525,12.4256174554776,-5.0828044391708,12.9171884804871,-9.23999518434847
BAmean-95,sample-anycpu,12.7653674853477,0,12.8359910522391,-0.553243508050215,12.6874398521273,0.610461338538755,12.5531551669082,1.66240665365152,13.0828004021328,-2.48667276636915,12.7244367828192,0.320638654354681,12.6869730150361,0.614118398092188,12.7867192044578,-0.167262862856319,12.9168977864269,-1.18704221600476,13.7622313559352,-7.80912787455357,14.6504232696052,-14.7669527447701,13.5067958592162,-5.80812400990014,13.839911974383,-8.41765417461464,13.4382322895613,-5.2710178926376,13.9779000477837,-9.49861070453125
BAmean-99,sample-anycpu,13.2042193112493,0,13.2298922175045,-0.194429565656037,13.1683919875073,0.271332389272715,13.0415067210818,1.23227724662885,13.5562766116853,-2.66624850842979,13.2079974744817,-0.0286133026372113,13.1668088000936,0.283322400771169,13.2416202199134,-0.283249677868099,13.3481851936046,-1.09030211451137,14.4337695647341,-9.31179817982334,15.5356423196075,-17.6566516611238,14.2304260618707,-7.77180934693395,14.7118230566845,-11.4175909222497,14.3207181708071,-8.45562189811946,14.8630015171949,-12.5625163203124
