0,1,2,3,4,5,6,7,8,9,10,11
Min,1,22.59,0,22.59,0,22.59,0,22.6,-0.0442673749446669,22.59,0
Min,3,7.53,0,7.53,0,7.54,-0.132802124834001,7.53,0,7.54,-0.132802124834001
Min,5,5.8,0,5.81,-0.172413793103445,5.8,0,5.81,-0.172413793103445,5.81,-0.172413793103445
Min,7,5.8,0,5.8,0,5.8,0,5.81,-0.172413793103445,5.81,-0.172413793103445
Min,8,5.81,0,5.81,0,5.8,0.172117039586908,5.81,0,5.81,0
Amean,1,22.6071428571429,0:NSIG:,22.6014285714286,0.0252764612954195:NSIG:,22.6042857142857,0.0126382306476955:NSIG:,22.62,-0.056872037914701:SIG:,22.6071428571429,-1.4210854715202e-14:NSIG:
Amean,3,7.54285714285714,0:NSIG:,7.53857142857143,0.056818181818187:NSIG:,7.54285714285714,0:NSIG:,7.54142857142857,0.0189393939394051:NSIG:,7.57571428571429,-0.435606060606062:NSIG:
Amean,5,5.81,0:NSIG:,5.81142857142857,-0.0245881485124215:NSIG:,5.80571428571429,0.0737644455372504:NSIG:,5.81428571428571,-0.0737644455372646:NSIG:,5.81142857142857,-0.0245881485124215:NSIG:
Amean,7,5.80857142857143,0:NSIG:,5.81142857142857,-0.0491883915395874:NSIG:,5.80571428571429,0.0491883915395874:NSIG:,5.81142857142857,-0.0491883915396016:NSIG:,5.81428571428571,-0.0983767830792033:SIG:
Amean,8,5.81142857142857,0:NSIG:,5.81714285714286,-0.0983284169124801:NSIG:,5.80714285714286,0.0737463126843778:NSIG:,5.81285714285714,-0.0245821042281165:NSIG:,5.81,0.0245821042281165:NSIG:
Stddev,1,0.0138013111868466,0,0.00690065559342315,50.0000000000011,0.0113389341902769,17.8416163742218,0.0115470053837918,16.333997346595,0.00951189731211339,31.0797562395467
Stddev,3,0.00951189731211322,0,0.00690065559342339,27.4523749889988,0.00487950036474256,48.7010823957423,0.00690065559342339,27.4523749889988,0.0732250282478933,-669.825680883273
Stddev,5,0.00577350269189639,0,0.00377964473009253,34.5346329291994,0.00534522483824837,7.41799002274897,0.00534522483824885,7.41799002274074,0.00377964473009253,34.5346329291994
Stddev,7,0.00377964473009219,0,0.00899735410842449,-138.04761428477,0.00534522483824837,-41.4213562373095,0.00377964473009253,-8.88178419700125e-12,0.00534522483824885,-41.4213562373221
Stddev,8,0.00377964473009253,0,0.00951189731211366,-151.661147842348,0.00755928946018464,-99.9999999999889,0.004879500364743,-29.0994448735806,9.59342338666363E-16,99.9999999999746
CoeffVar,1,0.0610484539070624,0,0.0305319443486265,49.9873585740483,0.0501627626442129,17.8312316957632,0.0510477691591147,16.3815528615553,0.0420747432447354,31.0797562395467
CoeffVar,3,0.126104699213622,0,0.0915379745195447,27.4111313136089,0.0646903457446931,48.7010823957423,0.0915032944761579,27.4386323057234,0.966575896163027,-666.486817850968
CoeffVar,5,0.0993718191376315,0,0.0650381344902844,34.550725693966,0.0920683412099867,7.34964700357285,0.0919326139256559,7.48623229053723,0.0650381344902844,34.550725693966
CoeffVar,7,0.0650701257025218,0,0.154821727529428,-137.930580059458,0.0920683412099867,-41.490953361442,0.0650381344902844,0.0491642084473511,0.0919326139256559,-41.282367189423
CoeffVar,8,0.0650381344902844,0,0.163514934147337,-151.413936498691,0.130172266227042,-100.147601476004,0.0839432355694298,-29.0677173127859,1.65119163281646E-14,99.9999999999746
Max,1,22.63,0,22.61,0.0883782589482962,22.62,0.0441891294741481,22.63,0,22.62,0.0441891294741481
Max,3,7.56,0,7.55,0.132275132275126,7.55,0.132275132275126,7.55,0.132275132275126,7.74,-2.38095238095238
Max,5,5.82,0,5.82,0,5.81,0.171821305841931,5.82,0,5.82,0
Max,7,5.81,0,5.83,-0.344234079173845,5.81,0,5.82,-0.172117039586922,5.82,-0.172117039586922
Max,8,5.82,0,5.83,-0.171821305841917,5.82,0,5.82,0,5.81,0.171821305841931
BAmean-50,1,22.5966666666667,0,22.5966666666667,0,22.5933333333333,0.0147514382652076,22.61,-0.05900575306093,22.6,-0.0147514382652361
BAmean-50,3,7.53666666666667,0,7.53333333333333,0.0442282176028215,7.54,-0.0442282176028357,7.53666666666667,0,7.54,-0.0442282176028357
BAmean-50,5,5.80666666666667,0,5.81,-0.0574052812858952,5.8,0.114810562571748,5.81,-0.0574052812858952,5.81,-0.0574052812858952
BAmean-50,7,5.80666666666667,0,5.80666666666667,0,5.8,0.114810562571748,5.81,-0.0574052812858952,5.81,-0.0574052812858952
BAmean-50,8,5.81,0,5.81,0,5.8,0.172117039586908,5.81,0,5.81,0
BAmean-95,1,22.6033333333333,0,22.6,0.0147470874502318,22.6016666666667,0.00737354372508037,22.6183333333333,-0.0663618935260644,22.605,-0.00737354372513721
BAmean-95,3,7.54,0,7.53666666666667,0.0442086648983206,7.54166666666667,-0.0221043324491745,7.54,0,7.54833333333333,-0.110521662245802
BAmean-95,5,5.80833333333333,0,5.81,-0.0286944045911213,5.805,0.0573888091821999,5.81333333333333,-0.086083213773307,5.81,-0.0286944045911213
BAmean-95,7,5.80833333333333,0,5.80833333333333,0,5.805,0.0573888091821999,5.81,-0.0286944045911213,5.81333333333333,-0.086083213773307
BAmean-95,8,5.81,0,5.815,-0.0860585197934682,5.805,0.086058519793454,5.81166666666667,-0.0286861732644894,5.81,0
BAmean-99,1,22.6033333333333,0,22.6,0.0147470874502318,22.6016666666667,0.00737354372508037,22.6183333333333,-0.0663618935260644,22.605,-0.00737354372513721
