0,thread,BASELINE,FTRACE_HOST,FTRACEALL_HOST,FTRACE_BOTH,FTRACE_GUEST
Min,sample-anycpu,3,5,5,3,5
Amean,sample-anycpu,69.4326,33.9833536119486,31.8353654013025,26.6587582900801,18.6815205564906
Stddev,sample-anycpu,22.4409,45.4320891372767,38.0023336218927,189.886893864062,27.1024474421706
CoeffVar,sample-anycpu,32.4294,133.689245787981,119.371438470557,712.287090785921,145.07623916488
Max,sample-anycpu,2550.67,11496,10391,63786,8396
BAmean-50,sample-anycpu,51.4276,23.5070114435629,22.992819757919,8.12647129494118,8.04151762348776
BAmean-95,sample-anycpu,68.0251,31.069922448308,29.3419835894907,12.9962680099473,16.5890813307512
BAmean-99,sample-anycpu,69.0697,32.8186172470241,30.9071798559213,14.8437496552456,18.1349040620771
