0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Min,sample-anycpu,3,0,3,0,3,0,5,-66.6666666666667,5,-66.6666666666667,3,0,5,-66.6666666666667
Amean,sample-anycpu,65.6421400487674,0:NSIG:,69.4604043462156,-5.81678826225267:SIG:,73.1953584864623,-11.5066608615797:SIG:,33.9833536119486,48.2293636577031:SIG:,31.8353654013025,51.501633893028:SIG:,26.6587582900801,59.3877374042428:SIG:,18.6815205564906,71.5403541953209:SIG:
Stddev,sample-anycpu,24.1047022815907,0,20.7193568384075,14.0443362611811,22.4985988350995,6.66302959368151,45.4320891372767,-88.4781176989447,38.0023336218927,-57.6552706519673,189.886893864062,-687.758718800204,27.1024474421706,-12.4363500762646
CoeffVar,sample-anycpu,36.7213839519592,0,29.8290184651601,18.7693511111022,30.7377397970674,16.2947130824915,133.689245787981,-264.063745426589,119.371438470557,-225.073364954666,712.287090785921,-1839.70655277527,145.07623916488,-295.072907259368
Max,sample-anycpu,2611,0,2576,1.34048257372655,2465,5.591727307545,11496,-340.291076216009,10391,-297.970126388357,63786,-2342.97204136346,8396,-221.562619685944
BAmean-50,sample-anycpu,44.8953484302265,0,52.6581510117618,-17.29088391774,56.7293382644609,-26.3590555547777,23.5070114435629,47.6404298763913,22.992819757919,48.7857415926886,8.12647129494118,81.8990795726403,8.04151762348776,82.088305571377
BAmean-95,sample-anycpu,64.0328325215519,0,68.0447465628994,-6.26540148758409,71.9977333263742,-12.4387763139192,31.069922448308,51.4781382849952,29.3419835894907,54.1766583890929,12.9962680099473,79.703743379503,16.5890813307512,74.0928509992624
BAmean-99,sample-anycpu,65.2445281157459,0,69.0876352551144,-5.89031333409413,72.8770269946081,-11.6982973121087,32.8186172470241,49.6990503344543,30.9071798559213,52.6287019792818,14.8437496552456,77.2490504814254,18.1349040620771,72.2047126620255
