0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Min,1,31.44,0,31.44,0,31.44,0,31.46,-0.0636132315521536,31.48,-0.127226463104321,31.47,-0.0954198473282446,31.5,-0.190839694656489
Min,3,10.48,0,10.48,0,10.48,0,10.49,-0.0954198473282446,10.5,-0.190839694656489,12.47,-18.9885496183206,11.27,-7.53816793893129
Min,5,7.86,0,7.86,0,7.86,0,7.86,0,7.87,-0.127226463104321,11.27,-43.3842239185751,10.39,-32.1882951653944
Min,7,7.86,0,7.86,0,7.86,0,7.86,0,7.87,-0.127226463104321,10.65,-35.4961832061069,10,-27.2264631043257
Min,8,7.86,0,7.86,0,7.86,0,7.87,-0.127226463104321,7.87,-0.127226463104321,9.69,-23.2824427480916,9.71,-23.5368956743003
Amean,1,31.4457142857143,0:NSIG:,31.4457142857143,-1.4210854715202e-14:NSIG:,31.4442857142857,0.00454297655824121:NSIG:,31.4657142857143,-0.0636016718153769:SIG:,31.4871428571429,-0.131746320189009:SIG:,31.7271428571429,-0.894966381973489:SIG:,32.1028571428571,-2.08976921679087:SIG:
Amean,3,10.48,0:NSIG:,10.48,0:NSIG:,10.48,0:NSIG:,10.4942857142857,-0.136314067611764:SIG:,10.5285714285714,-0.463467829880003:SIG:,12.7342857142857,-21.5103598691385:SIG:,12.0828571428571,-15.2944383860414:SIG:
Amean,5,7.86571428571428,0:NSIG:,7.86,0.0726480203414326:SIG:,7.86428571428571,0.0181620050853581:NSIG:,7.87142857142857,-0.072648020341461:NSIG:,7.87857142857143,-0.163458045768266:SIG:,11.8014285714286,-50.0363240101707:SIG:,10.5457142857143,-34.071921540138:SIG:
Amean,7,7.86142857142857,0:NSIG:,7.86285714285714,-0.018171906232979:NSIG:,7.86,0.0181719062329648:NSIG:,7.86857142857143,-0.0908595311648241:SIG:,7.87857142857143,-0.218062874795578:SIG:,10.9542857142857,-39.3421769943667:SIG:,10.4428571428571,-32.8366345629657:SIG:
Amean,8,7.86142857142857,0:NSIG:,7.86,0.0181719062329648:NSIG:,7.86142857142857,0:NSIG:,7.89,-0.363438124659282:SIG:,7.88428571428571,-0.290750499727423:SIG:,10.4314285714286,-32.6912593131019:SIG:,9.83285714285714,-25.0772306014901:SIG:
Stddev,1,0.00534522483824742,0,0.00786795792469394,-47.1960144388175,0.00534522483824742,2.8421709430404e-14,0.00534522483824742,2.8421709430404e-14,0.011126972805284,-108.166599946659,0.310038400079426,-5700.28734920495,0.617460235850976,-11451.6232625572
Stddev,3,1.91868467733273E-15,0,1.91868467733273E-15,0,1.91868467733273E-15,0,0.00534522483824837,-278587977555393,0.0669399162006674,-3488844049858284,0.29915754728109,-15591803635861864,0.767934769055165,-40024021566832604
Stddev,5,0.00534522483824837,0,0,100,0.00534522483824837,0,0.00899735410842418,-68.3250823060346,0.00377964473009219,29.2893218813452,0.279608569934744,-5130.99735550827,0.096756936505373,-1710.15653098477
Stddev,7,0.00377964473009219,0,0.00487950036474256,-29.0994448735806,0,100,0.00377964473009219,0,0.0069006555934234,-82.5741858350554,0.316483656389875,-8273.37048824046,0.612935947869331,-16116.7608767394
Stddev,8,0.00377964473009219,0,0,100,0.00377964473009219,0,0.0238047614284763,-529.814787589723,0.0127241802056071,-236.650164612077,0.347679381587336,-9098.73179664841,0.103877216898009,-2648.33282797655
CoeffVar,1,0.0169982617970798,0,0.0250207638891775,-47.1960144388175,0.0169990340592122,-0.0045431829539524,0.0169874574901171,0.0635612458004573,0.0353381469248163,-107.892708952672,0.977202395675619,-5648.83718900893,1.92338094115203,-11215.1624802158
CoeffVar,3,1.8308059898213E-14,0,1.8308059898213E-14,0,1.8308059898213E-14,0,0.0509346227439948,-278208739905576,0.635792962557221,-3.47274897554415e+15,2.34922911259551,-12831666083989512,6.35557269258235,-34714616010201464
CoeffVar,5,0.067956000486267,0,0,100,0.0679683449005243,-0.0181653042688339,0.114303954190507,-68.2028862390247,0.0479737318416053,29.4047155537057,2.36927731454207,-3386.48728234215,0.917500075233827,-1250.13842584694
CoeffVar,7,0.0480783447404059,0,0.0620575991155486,-29.0759893058346,0,100,0.048034700636611,0.0907770515613748,0.0875876503245037,-82.1769255938911,2.8891309268768,-5909.21463181889,5.86942768137527,-12108.0485779339
CoeffVar,8,0.0480783447404059,0,0,100,0.0480783447404059,0,0.30170800289577,-527.534089463379,0.16138659438168,-235.674190226537,3.33299872789832,-6832.43235784116,1.05642963574904,-2097.30866662138
Max,1,31.45,0,31.46,-0.0317965023847364,31.45,0,31.47,-0.0635930047694728,31.51,-0.190779014308433,32.27,-2.6073131955485,33,-4.92845786963434
Max,3,10.48,0,10.48,0,10.48,0,10.5,-0.190839694656489,10.68,-1.90839694656488,13.28,-26.7175572519084,13.17,-25.6679389312977
Max,5,7.87,0,7.86,0.127064803049564,7.87,0,7.89,-0.254129606099113,7.88,-0.127064803049549,12.11,-53.8754764930114,10.71,-36.0864040660737
Max,7,7.87,0,7.87,0,7.86,0.127064803049564,7.87,0,7.89,-0.254129606099113,11.5,-46.1245235069886,11.79,-49.8094027954257
Max,8,7.87,0,7.86,0.127064803049564,7.87,0,7.94,-0.889453621346888,7.91,-0.508259212198226,10.73,-36.3405336721728,10.03,-27.4459974587039
BAmean-50,1,31.44,0,31.44,0,31.44,0,31.46,-0.0636132315521394,31.48,-0.127226463104321,31.4733333333333,-0.106022052586937,31.5933333333333,-0.487701441899915
BAmean-50,3,10.48,0,10.48,0,10.48,0,10.49,-0.0954198473282446,10.5,-0.190839694656489,12.48,-19.0839694656488,11.3933333333333,-8.71501272264629
BAmean-50,5,7.86,0,7.86,0,7.86,0,7.86666666666667,-0.0848176420695523,7.87666666666667,-0.212044105173874,11.5766666666667,-47.2858354537744,10.4733333333333,-33.2485156912638
BAmean-50,7,7.86,0,7.86,0,7.86,0,7.86666666666667,-0.0848176420695523,7.87333333333333,-0.169635284139105,10.6866666666667,-35.9626802374894,10.0733333333333,-28.1594571670907
BAmean-50,8,7.86,0,7.86,0,7.86,0,7.87333333333333,-0.169635284139105,7.87666666666667,-0.212044105173874,10.1766666666667,-29.4741306191688,9.75,-24.0458015267176
BAmean-95,1,31.445,0,31.4433333333333,0.00530025971272607,31.4433333333333,0.00530025971272607,31.465,-0.0636031165527271,31.4833333333333,-0.121905973392714,31.6366666666667,-0.609529866963484,31.9533333333333,-1.61657921238142
BAmean-95,3,10.48,0,10.48,0,10.48,0,10.4933333333333,-0.127226463104321,10.5033333333333,-0.222646310432538,12.6433333333333,-20.6424936386768,11.9016666666667,-13.5655216284987
BAmean-95,5,7.865,0,7.86,0.0635727908455124,7.86333333333333,0.0211909302818327,7.86833333333333,-0.0423818605636939,7.87833333333333,-0.169527442254733,11.75,-49.3960584869676,10.5183333333333,-33.7359610086883
BAmean-95,7,7.86,0,7.86166666666667,-0.0212044105173987,7.86,0,7.86833333333333,-0.106022052586937,7.87666666666667,-0.212044105173888,10.8633333333333,-38.2103477523325,10.2183333333333,-30.0042408821035
BAmean-95,8,7.86,0,7.86,0,7.86,0,7.88166666666667,-0.275657336726027,7.88,-0.254452926208643,10.3816666666667,-32.0822731128074,9.8,-24.6819338422392
BAmean-99,1,31.445,0,31.4433333333333,0.00530025971272607,31.4433333333333,0.00530025971272607,31.465,-0.0636031165527271,31.4833333333333,-0.121905973392714,31.6366666666667,-0.609529866963484,31.9533333333333,-1.61657921238142
BAmean-99,3,10.48,0,10.48,0,10.48,0,10.4933333333333,-0.127226463104321,10.5033333333333,-0.222646310432538,12.6433333333333,-20.6424936386768,11.9016666666667,-13.5655216284987
BAmean-99,5,7.865,0,7.86,0.0635727908455124,7.86333333333333,0.0211909302818327,7.86833333333333,-0.0423818605636939,7.87833333333333,-0.169527442254733,11.75,-49.3960584869676,10.5183333333333,-33.7359610086883
BAmean-99,7,7.86,0,7.86166666666667,-0.0212044105173987,7.86,0,7.86833333333333,-0.106022052586937,7.87666666666667,-0.212044105173888,10.8633333333333,-38.2103477523325,10.2183333333333,-30.0042408821035
BAmean-99,8,7.86,0,7.86,0,7.86,0,7.88166666666667,-0.275657336726027,7.88,-0.254452926208643,10.3816666666667,-32.0822731128074,9.8,-24.6819338422392
