0,1,2,3,4,5,6,7,8,9,10,11
Min,sample-anycpu,5,0,5,0,5,0,5,0,6,-20
Amean,sample-anycpu,8.66369066716445,0:NSIG:,8.606970400133,0.654689429834079:SIG:,8.77532652709177,-1.28854854375655:SIG:,9.67531944238995,-11.6766492951969:SIG:,10.5402602889905,-21.6601641715847:SIG:
Stddev,sample-anycpu,7.599682458706,0,4.62290227305732,39.1697969201141,10.9205244805851,-43.6971155034879,14.7592394379142,-94.2086332963345,18.2256651062226,-139.821403134334
CoeffVar,sample-anycpu,87.7187650236514,0,53.7111440860292,38.7689235347223,124.445790670814,-41.8690637485154,152.545241795845,-73.9026327544796,172.914753587818,-97.1240173538636
Max,sample-anycpu,2455,0,2914,-18.6965376782077,2440,0.610997963340125,8613,-250.835030549898,3942,-60.5702647657841
BAmean-50,sample-anycpu,7.84272189161734,0,7.85215352153522,-0.120259650261929,7.80958051695991,0.422574905950128,8.22227907682205,-4.83961041141079,8.13704325650973,-3.752796146029
BAmean-95,sample-anycpu,7.99882060317222,0,8.00148773365357,-0.0333440467497326,7.98360363094726,0.190240198897868,8.81179223559031,-10.1636437763797,9.11149110237087,-13.9104319799019
BAmean-99,sample-anycpu,8.30215557551459,0,8.31751107018292,-0.184957924826406,8.31560459503846,-0.161994308605031,9.0825872958551,-9.40035046611546,9.55419357608491,-15.0808785643928
