0,thread,BASELINE,FTRACE_HOST,FTRACEALL_HOST
Min,4.0,16.131,20.3103,19.899
Amean,4.0,16.935,22.0399,22.1232
Stddev,4.0,0.283217,0.710508,0.784929
CoeffVar,4.0,1.67233,3.22453,3.54765
Max,4.0,17.5373,23.814,23.9327
BAmean-50,4.0,16.7092,21.4758,21.5007
BAmean-95,4.0,16.9069,21.9593,22.0441
BAmean-99,4.0,16.9289,22.022,22.1049
