0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Min,sample-anycpu,4,0,3,25,4,0,4,0,4,0,4,0,4,0,3,25,3,25,5,-25,5,-25,5,-25,5,-25,5,-25,5,-25
Amean,sample-anycpu,58.5161981191432,0:NSIG:,48.8897645406856,16.4508869131543:SIG:,51.8200601843866,11.443221107979:SIG:,67.9917982034716,-16.1931232528733:SIG:,62.6853566848142,-7.12479398812329:SIG:,58.3410928230415,0.299242434966729:SIG:,58.8913651996303,-0.641133724585629:SIG:,62.9234037233954,-7.53159936207551:SIG:,66.109368671759,-12.9761857343425:SIG:,30.0608442722007,48.6281658097564:SIG:,29.4651695019786,49.646131414783:SIG:,30.9948936773107,47.0319421398449:SIG:,35.2104096289943,39.8279266925315:SIG:,35.9565863185015,38.5527640649324:SIG:,31.5333008256127,46.1118428073391:SIG:
Stddev,sample-anycpu,24.9986360346474,0,25.7674952478674,-3.07560465360764,26.1636941602143,-4.6604867719669,25.4683456799035,-1.87894109344656,24.8772514715636,0.485564744074395,23.197218215514,7.20606442942184,22.4654808325103,10.1331736604596,23.4338602203597,6.25944476378186,22.7482203064395,9.00215405788063,27.2823823145902,-9.13548353909223,22.9279422358597,8.28322711654261,19.2312427062995,23.0708320260131,31.5815791101265,-26.333209005305,38.2633237081215,-53.0616456637461,35.3024555290291,-41.2175267486633
CoeffVar,sample-anycpu,42.7208821457408,0,52.7052962720325,-23.3712733089878,50.4895094045016,-18.184613398802,37.4579675090916,12.319302346555,39.685905588203,7.104199176375,39.7613707475024,6.92755217025295,38.1473255991887,10.7056697259892,37.2418827235928,12.8251083473806,34.4099796496125,19.4539580614839,90.7572058440821,-112.442256071555,77.8137123369342,-82.1444418480765,62.0464870972517,-45.2369051874496,89.6938702017269,-109.953225908911,106.415340347349,-149.094435794458,111.952934214724,-162.056700591528
Max,sample-anycpu,3104,0,2395,22.8414948453608,4085,-31.604381443299,2995,3.51159793814433,1941,37.4677835051546,2416,22.1649484536082,1763,43.2023195876289,835,73.0992268041237,2772,10.6958762886598,9071,-192.235824742268,8686,-179.832474226804,4159,-33.9884020618557,10756,-246.520618556701,10465,-237.145618556701,9375,-202.029639175258
BAmean-50,sample-anycpu,38.4638028507047,0,28.9025411793726,24.8578168634123,32.2325009291837,16.2004312098506,45.9119851997533,-19.3641340612066,41.4354739245654,-7.7258899370796,39.5857122380816,-2.91679268358239,41.1999063327089,-7.11345025509897,42.6260104335072,-10.8211026324099,47.3796686272582,-23.179886323669,24.9298362295287,35.186241656103,25.2703180683208,34.3010409906521,25.167516193232,34.5683101306481,25.9951791643885,32.4165130907948,26.344895877093,31.5073031666958,25.2434196816908,34.3709726787238
BAmean-95,sample-anycpu,56.3534028956521,0,46.3649419514998,17.7246810856261,49.3302215828348,12.4627457295205,66.3024418828033,-17.6547262027344,60.715193498839,-7.74006604581355,56.3009264091973,0.0931203507835221,56.8015163251002,-0.795184330355113,61.0754933634859,-8.37942382393038,64.2740304865265,-14.0552782687157,28.3389881362311,49.7120197183025,28.0629604675605,50.2018351588745,29.036724596233,48.4738753931162,32.8436843910746,41.7183653454074,33.610697960079,40.3572877004165,29.5014639444991,47.6491881082567
BAmean-99,sample-anycpu,57.9684465712951,0,48.2913774889625,16.6936836412044,51.2059868061641,11.6657598488755,67.5210175920322,-16.4789149714206,62.1746442072727,-7.25601233906519,57.8450251811248,0.212911329301349,58.3529296889796,-0.663262758320911,62.4515404299736,-7.73367948227617,65.5952888016445,-13.1568856532479,29.3961549049502,49.2893864789079,28.9175877137967,50.1149514534064,30.3003832017551,47.7295235702258,34.4132135595789,40.6345769206455,35.1338450619202,39.39143251198,30.6660155575781,47.0987798165988
