0 thread BASELINE FTRACE_HOST FTRACEALL_HOST FTRACE_BOTH FTRACE_GUEST
Min 8.0 18.612 19.885 20.436 20.374 20.031
Amean 8.0 19.7886 20.72985 21.60131 21.59027 22.09624
Stddev 8.0 0.500284 0.425726150301465 0.569640781634365 0.512144685502924 0.742640404301443
CoeffVar 8.0 2.52743 2.05368659349423 2.63706590773599 2.37210875780119 3.36093563566219
Max 8.0 21.1237 21.681 22.892 22.770 23.951
BAmean-50 8.0 19.3901 20.38536 21.1526 21.18772 21.50264
BAmean-95 8.0 19.7322 20.6844842105263 21.5404631578947 21.5389684210526 22.0164
BAmean-99 8.0 19.7751 20.7202424242424 21.5882727272727 21.5783535353535 22.0775050505051
